ics_code,ics
QOX,"Bath and North East Somerset, Swindon and Wiltshire"
QHG,"Bedfordshire, Luton and Milton Keynes"
QHL,Birmingham and Solihull
QUA,Black Country
QUY,"Bristol, North Somerset and South Gloucestershire"
QU9,"Buckinghamshire, Oxfordshire and Berkshire West"
QUE,Cambridgeshire and Peterborough
QYG,Cheshire and Merseyside
QT6,Cornwall and the Isles of Scilly
QWU,Coventry and Warwickshire
QJ2,Derby and Derbyshire
QJK,Devon
QVV,Dorset
QNQ,Frimley
QR1,Gloucestershire
QOP,Greater Manchester
QRL,Hampshire and Isle of Wight
QGH,Herefordshire and Worcestershire
QM7,Hertfordshire and West Essex
QOQ,Humber and North Yorkshire
QKS,Kent and Medway
QE1,Lancashire and South Cumbria
QK1,"Leicester, Leicestershire and Rutland"
QJM,Lincolnshire
QH8,Mid and South Essex
QMM,Norfolk and Waveney
QMJ,North Central London
QMF,North East London
QHM,North East and North Cumbria
QRV,North West London
QPM,Northamptonshire
QT1,Nottingham and Nottinghamshire
QOC,"Shropshire, Telford and Wrekin"
QSL,Somerset
QKK,South East London
QWE,South West London
QF7,South Yorkshire
QNC,Staffordshire and Stoke-on-Trent
QJG,Suffolk and North East Essex
QXU,Surrey Heartlands
QNX,Sussex
QWO,West Yorkshire
NA,NA
